Release Date,WW Release Date,Release Year,WW Release Year,Diverse Cast,Gender Lead,primaryTitle,Theatrical Distributor,Source,Production Method,Creative Type,Production Budget,Breakeven Point,Opening Weekend Theatres,Maximum Theatres,Opening Rev Per Theatre,Opening Weekend Revenue,Adj BO Rev Per Max Theatres,Domestic BO,Infl Adj Dom BO,International BO,Worldwide BO,Profitable
7/29/2005,7/29/2005,2005,2005,No,Male,Sky High,Walt Disney,Original Screenplay,Live Action,Super Hero,35000000,70000000,2905,2912,5037,14631784,31412,63939454,91470319,19169905,83109359,Profitable
8/7/2015,8/5/2015,2015,2015,No,Ensemble,Fantastic Four,20th Century Fox,Based on Comic/Graphic Novel,Live Action,Super Hero,120000000,240000000,3995,4004,6429,25685737,15246,56117548,61043645,111731639,167849187,Loss
8/5/2021,7/28/2021,2021,2021,Yes,Male,The Suicide Squad,Warner Bros.,Based on Comic/Graphic Novel,Live Action,Super Hero,185000000,370000000,4002,4019,6548,26205415,13888,55817425,55817425,111302807,167120232,Big Loss
12/25/2020,12/16/2020,2020,2020,Yes,Female,Wonder Woman 1984,Warner Bros.,Based on Comic/Graphic Novel,Live Action,Super Hero,200000000,400000000,2151,2218,7765,16701957,21101,46801036,46801036,119559196,166360232,Big Loss
3/28/2008,3/28/2008,2008,2008,Yes,Ensemble,Superhero Movie,MGM,Original Screenplay,Live Action,Super Hero,35000000,70000000,2960,2965,3213,9510297,11145,26638520,33045250,46387782,73026302,Profitable
1/14/2005,1/14/2005,2005,2005,Yes,Female,Elektra,20th Century Fox,Spin-Off,Live Action,Super Hero,65000000,130000000,3203,3203,3998,12804793,10902,24409722,34919984,32414911,56824633,Big Loss
8/28/2020,8/26/2020,2020,2020,No,Ensemble,The New Mutants,20th Century Studios,Based on Comic/Graphic Novel,Live Action,Super Hero,67000000,134000000,2412,2754,2918,7037017,8662,23855569,23855569,20756711,44612280,Big Loss
7/21/2006,7/21/2006,2006,2006,Yes,Ensemble,My Super Ex-Girlfriend,20th Century Fox,Original Screenplay,Live Action,Super Hero,30000000,60000000,2702,2702,3184,8603460,11674,22530295,31542407,38242561,60772856,Profitable
4/12/2019,4/10/2019,2019,2019,No,Male,Hellboy,Lionsgate,Remake,Live Action,Super Hero,50000000,100000000,3303,3303,3647,12045147,6639,21903748,21927652,32052732,53956480,Loss
12/25/2008,12/25/2008,2008,2008,Yes,Male,The Spirit,Lionsgate,Based on Comic/Graphic Novel,Live Action,Super Hero,60000000,120000000,2509,2509,2576,6463278,10037,19806188,25183259,19200000,39006188,Big Loss
10/23/2009,10/23/2009,2009,2009,No,Male,Astro Boy,Summit Entertainment,Based on Comic/Graphic Novel,Digital Animation,Super Hero,65000000,130000000,3014,3020,2224,6702923,7913,19551067,23898469,22085176,41636243,Big Loss
5/24/2019,5/9/2019,2019,2019,No,Male,BrightBurn,Sony Pictures,Original Screenplay,Live Action,Super Hero,7000000,14000000,2607,2607,3009,7845658,6628,17259427,17278261,15924215,33183642,Highly Profitable
8/11/2006,8/11/2006,2006,2006,No,Ensemble,Zoom,Sony Pictures,Based on Comic/Graphic Novel,Live Action,Super Hero,35000000,70000000,2501,2501,1803,4510408,6711,11989328,16785052,516860,12506188,Big Loss
3/13/2020,11/29/2019,2020,2019,No,Male,Bloodshot,Sony Pictures,Based on Comic/Graphic Novel,Live Action,Super Hero,45000000,90000000,2861,2861,3208,9176695,3503,10021787,10021787,27299294,37321081,Big Loss
12/5/2008,12/5/2008,2008,2008,No,Male,Punisher: War Zone,Lionsgate,Based on Comic/Graphic Novel,Live Action,Super Hero,35000000,70000000,2508,2508,1703,4271451,4100,8050977,10282376,2106557,10157534,Big Loss
1/29/2013,1/29/2013,2013,2013,No,Male,"Batman: The Dark Knight Returns, Part 2",,Based on Comic/Graphic Novel,Hand Animation,Super Hero,3500000,7000000,Null,0,Null,0,#DIV/0!,0,0,0,0,Big Loss
1/4/2013,1/4/2013,2013,2013,No,Male,All Superheroes Must Die,Image Entertainment,Original Screenplay,Live Action,Super Hero,20000,40000,Null,0,Null,0,#DIV/0!,0,0,0,0,Big Loss
