tconst,startYear,primaryTitle,Creative Type,Production Budget,Domestic Box Office,International Box Office,Worldwide Box Office,ROI,PROI 
23,2/13/2015,Kingsman: The Secret Service,Contemporary Fiction,"$94,000,000 ","$128,261,724 ","$276,300,000 ","$404,561,724 ","$310,561,724 ",3.30 
28,9/18/2015,Maze Runner: The Scorch Trials,Science Fiction,"$61,000,000 ","$81,697,192 ","$228,868,970 ","$310,566,162 ","$249,566,162 ",4.09 
29,7/31/2015,Mission: Impossible—Rogue Nation,Contemporary Fiction,"$150,000,000 ","$195,042,377 ","$493,816,615 ","$688,858,992 ","$538,858,992 ",3.59 
30,6/12/2015,Jurassic World,Science Fiction,"$215,000,000 ","$652,306,625 ","$1,017,673,342 ","$1,669,979,967 ","$1,454,979,967 ",6.77 
31,8/14/2015,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,200,000 ","$17,856,688 ","$4,856,688 ",0.37 
32,7/17/2015,Ant-Man,Super Hero,"$130,000,000 ","$180,202,163 ","$338,656,286 ","$518,858,449 ","$388,858,449 ",2.99 
33,3/20/2015,The Divergent Series: Insurgent,Science Fiction,"$110,000,000 ","$130,179,072 ","$164,896,810 ","$295,075,882 ","$185,075,882 ",1.68 
36,1/9/2015,Taken 3,Contemporary Fiction,"$48,000,000 ","$89,256,424 ","$238,400,000 ","$327,656,424 ","$279,656,424 ",5.83 
39,1/23/2015,Mortdecai,Contemporary Fiction,"$60,000,000 ","$7,696,134 ","$22,700,000 ","$30,396,134 ","($29,603,866)",(0.49)
41,2/6/2015,Jupiter Ascending,Science Fiction,"$179,000,000 ","$47,482,519 ","$134,500,000 ","$181,982,519 ","$2,982,519 ",0.02 
43,4/3/2015,Furious 7,Contemporary Fiction,"$190,000,000 ","$353,007,020 ","$1,161,546,466 ","$1,514,553,486 ","$1,324,553,486 ",6.97 
44,9/4/2015,The Transporter Refueled,Contemporary Fiction,"$22,000,000 ","$16,029,670 ","$53,668,825 ","$69,698,495 ","$47,698,495 ",2.17 
45,7/1/2015,Terminator: Genisys,Science Fiction,"$155,000,000 ","$89,760,956 ","$342,389,938 ","$432,150,894 ","$277,150,894 ",1.79 
48,3/6/2015,Chappie,Science Fiction,"$49,000,000 ","$31,569,268 ","$73,432,788 ","$105,002,056 ","$56,002,056 ",1.14 
49,5/27/2016,X-Men: Apocalypse,Super Hero,"$178,000,000 ","$155,442,489 ","$387,095,057 ","$542,537,546 ","$364,537,546 ",2.05 
50,3/18/2016,The Divergent Series: Allegiant,Science Fiction,"$110,000,000 ","$66,184,051 ","$105,838,466 ","$172,022,517 ","$62,022,517 ",0.56 
